ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,start_pos_x,start_pos_y,receiver,end_pos_x,end_pos_y,successful,cross
PASS-20190413CHINC-41,RAW-20190413CHINC-161,20190413CHINC,1,3:51,4:11,146,NC,92.9,68.0,152.0,93.3,41.5,1,0
PASS-20190413CHINC-42,RAW-20190413CHINC-171,20190413CHINC,1,4:00,4:20,161,CHI,26.8,37.0,254.0,30.3,32.5,0,0
PASS-20190413CHINC-43,RAW-20190413CHINC-180,20190413CHINC,1,4:04,4:24,254,NC,72.7,27.8,160.0,103.4,17.1,0,0
PASS-20190413CHINC-44,RAW-20190413CHINC-185,20190413CHINC,1,4:30,4:50,160,CHI,16.5,24.9,117.0,61.7,24.3,1,0
PASS-20190413CHINC-45,RAW-20190413CHINC-195,20190413CHINC,1,4:33,4:53,161,CHI,67.2,28.7,152.0,62.3,20.2,0,0
PASS-20190413CHINC-46,RAW-20190413CHINC-198,20190413CHINC,1,4:35,4:55,152,NC,42.7,47.8,92.0,32.9,58.3,1,0
PASS-20190413CHINC-47,RAW-20190413CHINC-203,20190413CHINC,1,4:38,4:58,92,NC,38.5,58.7,80.0,83.9,59.3,0,0
PASS-20190413CHINC-48,RAW-20190413CHINC-208,20190413CHINC,1,4:45,5:05,80,CHI,10.4,7.2,92.0,28.2,0.0,0,0
PASS-20190413CHINC-49,RAW-20190413CHINC-209,20190413CHINC,1,5:02,5:22,92,NC,76.8,68.0,146.0,78.1,57.4,1,0
PASS-20190413CHINC-50,RAW-20190413CHINC-219,20190413CHINC,1,5:04,5:24,142,CHI,27.8,8.6,34.0,35.0,13.5,1,0
PASS-20190413CHINC-51,RAW-20190413CHINC-222,20190413CHINC,1,5:05,5:25,34,CHI,35.0,13.5,65.0,28.9,14.0,1,0
PASS-20190413CHINC-52,RAW-20190413CHINC-224,20190413CHINC,1,5:05,5:25,65,CHI,28.9,14.0,117.0,40.4,13.3,1,0
PASS-20190413CHINC-53,RAW-20190413CHINC-227,20190413CHINC,1,5:09,5:29,117,CHI,36.2,7.9,142.0,28.5,5.8,1,0
PASS-20190413CHINC-54,RAW-20190413CHINC-229,20190413CHINC,1,5:10,5:30,142,CHI,28.5,5.8,65.0,31.5,15.2,1,0
PASS-20190413CHINC-55,RAW-20190413CHINC-238,20190413CHINC,1,5:14,5:34,65,CHI,41.7,22.1,92.0,58.5,16.0,0,0
