"ID";"raw_event_ID";"game_ID";"half";"start_time";"end_time";"player_ID";"team_ID";"start_pos_x";"start_pos_y";"receiver";"end_pos_x";"end_pos_y";"successful";"cross"
"PASS-20190414PORORL-429";"RAW-20190414PORORL-1793";"20190414PORORL";1;"39:15:00";"39:35:00";16;"POR";62.2;21.4;217;50.7;16.7;1;0
"PASS-20190414PORORL-43";"RAW-20190414PORORL-133";"20190414PORORL";1;"01:54:00";"02:14:00";27;"ORL";34.2;23.3;253;25.4;40.2;1;0
"PASS-20190414PORORL-430";"RAW-20190414PORORL-1796";"20190414PORORL";1;"39:18:00";"39:38:00";217;"POR";53.1;13.4;30;66.6;0.7;1;0
"PASS-20190414PORORL-431";"RAW-20190414PORORL-1797";"20190414PORORL";1;"39:19:00";"39:39:00";30;"POR";66.6;0.7;94;64.3;3.5;1;0
"PASS-20190414PORORL-432";"RAW-20190414PORORL-1801";"20190414PORORL";1;"39:23:00";"39:43:00";94;"POR";66.9;2.8;30;97.7;1.2;1;0
"PASS-20190414PORORL-433";"RAW-20190414PORORL-1803";"20190414PORORL";1;"39:27:00";"39:47:00";30;"POR";99.2;1.4;94;73.8;4.9;1;0
"PASS-20190414PORORL-434";"RAW-20190414PORORL-1806";"20190414PORORL";1;"39:31:00";"39:51:00";94;"POR";71.7;3.8;217;64.6;3.0;1;0
"PASS-20190414PORORL-435";"RAW-20190414PORORL-1810";"20190414PORORL";1;"39:34:00";"39:54:00";217;"POR";63.5;3.3;139;64.6;3.0;0;0
"PASS-20190414PORORL-436";"RAW-20190414PORORL-1825";"20190414PORORL";1;"39:40:00";"40:00:00";239;"ORL";34.1;52.7;175;30.9;66.3;1;0
"PASS-20190414PORORL-437";"RAW-20190414PORORL-1828";"20190414PORORL";1;"39:43:00";"40:03:00";175;"ORL";33.3;66.8;123;33.8;9.7;1;0
"PASS-20190414PORORL-438";"RAW-20190414PORORL-1831";"20190414PORORL";1;"39:49:00";"40:09:00";123;"ORL";28.8;9.0;19;18.4;19.3;1;0
"PASS-20190414PORORL-439";"RAW-20190414PORORL-1835";"20190414PORORL";1;"39:53:00";"40:13:00";19;"ORL";22.3;18.3;123;24.9;4.3;1;0
"PASS-20190414PORORL-44";"RAW-20190414PORORL-136";"20190414PORORL";1;"01:58:00";"02:18:00";253;"ORL";27.3;41.9;175;35.1;60.7;1;0
"PASS-20190414PORORL-440";"RAW-20190414PORORL-1838";"20190414PORORL";1;"39:56:00";"40:16:00";123;"ORL";22.5;4.7;86;3.7;30.4;1;0
"PASS-20190414PORORL-441";"RAW-20190414PORORL-1840";"20190414PORORL";1;"40:00:00";"40:20:00";86;"ORL";5.5;30.6;175;33.8;58.1;1;0
"PASS-20190414PORORL-442";"RAW-20190414PORORL-1844";"20190414PORORL";1;"40:05:00";"40:25:00";175;"ORL";37.0;56.9;239;40.4;41.7;1;0
"PASS-20190414PORORL-443";"RAW-20190414PORORL-1846";"20190414PORORL";1;"40:10:00";"40:30:00";239;"ORL";42.3;43.0;175;43.5;56.5;1;0
"PASS-20190414PORORL-444";"RAW-20190414PORORL-1849";"20190414PORORL";1;"40:11:00";"40:31:00";175;"ORL";43.5;56.5;232;61.1;44.2;1;0
"PASS-20190414PORORL-445";"RAW-20190414PORORL-1851";"20190414PORORL";1;"40:15:00";"40:35:00";232;"ORL";57.8;44.9;175;42.2;60.0;1;0
"PASS-20190414PORORL-446";"RAW-20190414PORORL-1854";"20190414PORORL";1;"40:20:00";"40:40:00";175;"ORL";40.9;61.9;253;34.6;54.6;1;0
