ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,start_pos_x,start_pos_y,receiver,end_pos_x,end_pos_y,successful,cross
PASS-20180414NCWAS-830,RAW-20180414NCWAS-4024,20180414NCWAS,2,85:31,85:51,Tori Huster,WAS,68.2,34.1,Whitney Church,52.2,25.0,1,0
PASS-20180414NCWAS-831,RAW-20180414NCWAS-4026,20180414NCWAS,2,85:34,85:54,Whitney Church,WAS,52.5,22.6,Meggie Dougherty Howard,63.7,3.8,1,0
PASS-20180414NCWAS-832,RAW-20180414NCWAS-4030,20180414NCWAS,2,85:36,85:56,Meggie Dougherty Howard,WAS,63.5,4.0,Francisca Ordega,73.1,4.2,1,0
PASS-20180414NCWAS-833,RAW-20180414NCWAS-4032,20180414NCWAS,2,85:38,85:58,Francisca Ordega,WAS,73.2,3.3,Meggie Dougherty Howard,63.3,3.5,1,0
PASS-20180414NCWAS-834,RAW-20180414NCWAS-4035,20180414NCWAS,2,85:40,86:00,Meggie Dougherty Howard,WAS,63.5,3.6,Andi Maureen Sullivan,59.2,19.9,1,0
PASS-20180414NCWAS-835,RAW-20180414NCWAS-4039,20180414NCWAS,2,85:43,86:03,Andi Maureen Sullivan,WAS,50.1,20.2,Estelle Laura Johnson,40.0,29.3,1,0
PASS-20180414NCWAS-836,RAW-20180414NCWAS-4042,20180414NCWAS,2,85:51,86:11,Estelle Laura Johnson,WAS,62.2,51.8,Caprice Dydasco,53.6,59.8,1,0
PASS-20180414NCWAS-837,RAW-20180414NCWAS-4046,20180414NCWAS,2,85:54,86:14,Caprice Dydasco,WAS,57.2,59.9,Taylor Nicole Smith,61.1,48.8,1,0
PASS-20180414NCWAS-838,RAW-20180414NCWAS-4059,20180414NCWAS,2,85:58,86:18,Taylor Nicole Smith,WAS,71.4,48.2,Sabrina Victoria D'Angelo,99.6,40.9,0,0
PASS-20180414NCWAS-839,RAW-20180414NCWAS-4062,20180414NCWAS,2,86:24,86:44,Sabrina Victoria D'Angelo,NC,5.4,27.1,Andi Maureen Sullivan,56.5,24.0,0,0
PASS-20180414NCWAS-840,RAW-20180414NCWAS-4068,20180414NCWAS,2,86:29,86:49,Estelle Laura Johnson,WAS,43.2,46.0,Tori Huster,50.4,48.1,1,0
